source	sample_n	present
Hungary_EIA	2	TRUE
Hungary_EIA-3	1	TRUE
Hungary_EIA_Hallstatt	1	TRUE
Hungary_EIA_Mezocsat	1	TRUE
Hungary_EIA_Mezocsat_Prescythian	4	TRUE
Hungary_EIA_Mezocsat_Prescythian-1	1	TRUE
Hungary_EIA_Mezocsat_Prescythian-3	1	TRUE
Hungary_EIA_Prescythian	1	TRUE
Hungary_IA_Celt	1	TRUE
Hungary_IA_LaTene	29	TRUE
Hungary_IA_LaTene-3	2	TRUE
Hungary_IA_LaTene-o	4	TRUE
Hungary_IA_LaTene-oEast	1	TRUE
Hungary_IA_LaTene-oWest	2	TRUE
Hungary_IA_Scythian	18	TRUE
Hungary_IA_Scythian-2	1	TRUE
Hungary_IA_Scythian-o	1	TRUE
Hungary_IA_Scythian-oAegean	2	TRUE
Hungary_IA_SremGroup	1	TRUE
Hungary_LBA_EIA_Kyjatice_Piliny	2	TRUE
Hungary_LBA_EIA_Kyjatice_Piliny-o	1	TRUE
Hungary_LBA_IA	1	TRUE
Hungary_LBA_IA_PreGava	3	TRUE
Hungary_LateC_IA_c_Baden	1	TRUE
