target	source	pvalue	pass	error
Croatian	CroatiaSerbia_RomanLocal	2.266626797743074e-9	FALSE	FALSE
Croatian	Aegean_BA_IA	1.5191257825605122e-20	FALSE	FALSE
Croatian	Albania_BA_IA	1.9197842979649077e-38	FALSE	FALSE
Croatian	Croatia_IA	2.4340446574538582e-11	FALSE	FALSE
Croatian	Bulgaria_IA	3.065753273847349e-16	FALSE	FALSE
Croatian	Serbia_BA	1.0693958429765049e-14	FALSE	FALSE
Croatian	NorthMacedonia_IA	0.2031456772096531	TRUE	FALSE
Serbian_Serb	CroatiaSerbia_RomanLocal	2.87439011667698e-9	FALSE	FALSE
Serbian_Serb	Aegean_BA_IA	6.31148552249425e-20	FALSE	FALSE
Serbian_Serb	Albania_BA_IA	9.23640432710599e-54	FALSE	FALSE
Serbian_Serb	Croatia_IA	3.7656094977502864e-14	FALSE	FALSE
Serbian_Serb	Bulgaria_IA	1.256672049507164e-28	FALSE	FALSE
Serbian_Serb	Serbia_BA	3.7166875814938695e-15	FALSE	FALSE
Serbian_Serb	NorthMacedonia_IA	0.050191689065493844	TRUE	FALSE
Romanian	CroatiaSerbia_RomanLocal	3.3682944736347003e-7	FALSE	FALSE
Romanian	Aegean_BA_IA	1.058699622233671e-21	FALSE	FALSE
Romanian	Albania_BA_IA	9.710065198647452e-41	FALSE	FALSE
Romanian	Croatia_IA	7.636452390697305e-14	FALSE	FALSE
Romanian	Bulgaria_IA	8.91375083354077e-22	FALSE	FALSE
Romanian	Serbia_BA	2.3408332580516218e-17	FALSE	FALSE
Romanian	NorthMacedonia_IA	0.15337641821374795	TRUE	FALSE
Bulgarian	CroatiaSerbia_RomanLocal	6.698013551541164e-10	FALSE	FALSE
Bulgarian	Aegean_BA_IA	4.5758502204414524e-29	FALSE	FALSE
Bulgarian	Albania_BA_IA	4.6588162879159815e-52	FALSE	FALSE
Bulgarian	Croatia_IA	2.6290526785247163e-14	FALSE	FALSE
Bulgarian	Bulgaria_IA	7.291838999950789e-21	FALSE	FALSE
Bulgarian	Serbia_BA	1.3589660873210261e-22	FALSE	FALSE
Bulgarian	NorthMacedonia_IA	0.20620257885383247	TRUE	FALSE
Albanian	CroatiaSerbia_RomanLocal	3.049086669551295e-5	FALSE	FALSE
Albanian	Aegean_BA_IA	6.84880473752309e-14	FALSE	FALSE
Albanian	Albania_BA_IA	3.664161085414416e-30	FALSE	FALSE
Albanian	Croatia_IA	3.053929708828968e-11	FALSE	FALSE
Albanian	Bulgaria_IA	3.74188330744972e-15	FALSE	FALSE
Albanian	Serbia_BA	4.61449418232193e-11	FALSE	FALSE
Albanian	NorthMacedonia_IA	0.9622416473855651	TRUE	FALSE
Greek	CroatiaSerbia_RomanLocal	6.234077784009191e-8	FALSE	FALSE
Greek	Aegean_BA_IA	1.7124107464141116e-25	FALSE	FALSE
Greek	Albania_BA_IA	3.0288858688730514e-48	FALSE	FALSE
Greek	Croatia_IA	2.596043588095539e-16	FALSE	FALSE
Greek	Bulgaria_IA	8.367435600693243e-28	FALSE	FALSE
Greek	Serbia_BA	2.2206568760271847e-15	FALSE	FALSE
Greek	NorthMacedonia_IA	0.3131014510359195	TRUE	FALSE
Cypriot	CroatiaSerbia_RomanLocal	0.014461253795459835	FALSE	FALSE
Cypriot	Aegean_BA_IA	2.6868554705855853e-15	FALSE	FALSE
Cypriot	Albania_BA_IA	2.2824971187824038e-27	FALSE	FALSE
Cypriot	Croatia_IA	2.2328379395926117e-8	FALSE	FALSE
Cypriot	Bulgaria_IA	8.264621673530887e-12	FALSE	FALSE
Cypriot	Serbia_BA	5.217869757327161e-8	FALSE	FALSE
Cypriot	NorthMacedonia_IA	0.917566836276864	TRUE	FALSE
